matchup,id
"Burnley - Manchester City, 1 - 1",2499972
"Manchester City - West Bromwich Albion, 3 - 0",2499966
"Tottenham Hotspur - Manchester United, 2 - 0",2499968
"Chelsea - AFC Bournemouth, 0 - 3",2499962
"Everton - Leicester City, 2 - 1",2499963
"Newcastle United - Burnley, 1 - 1",2499964
"Southampton - Brighton & Hove Albion, 1 - 1",2499965
"Huddersfield Town - Liverpool, 0 - 3",2499959
"Swansea City - Arsenal, 3 - 1",2499960
"West Ham United - Crystal Palace, 1 - 1",2499961
"Swansea City - Liverpool, 1 - 0",2499957
"Southampton - Tottenham Hotspur, 1 - 1",2499955
"Manchester City - Newcastle United, 3 - 1",2499954
"Arsenal - Crystal Palace, 4 - 1",2499949
"Burnley - Manchester United, 0 - 1",2499951
"Everton - West Bromwich Albion, 1 - 1",2499952
"Leicester City - Watford, 2 - 0",2499953
"Stoke City - Huddersfield Town, 2 - 0",2499956
"West Ham United - AFC Bournemouth, 1 - 1",2499958
"Brighton & Hove Albion - Chelsea, 0 - 4",2499950
"Manchester United - Stoke City, 3 - 0",2499944
"Liverpool - Manchester City, 4 - 3",2499943
"AFC Bournemouth - Arsenal, 2 - 1",2499939
"Tottenham Hotspur - Everton, 4 - 0",2499946
"Crystal Palace - Burnley, 1 - 0",2499941
"Huddersfield Town - West Ham United, 1 - 4",2499942
"Newcastle United - Swansea City, 1 - 1",2499945
"Watford - Southampton, 2 - 2",2499947
"West Bromwich Albion - Brighton & Hove Albion, 2 - 0",2499948
"Tottenham Hotspur - West Ham United, 1 - 1",2499926
"Arsenal - Chelsea, 2 - 2",2499929
"Swansea City - Tottenham Hotspur, 0 - 2",2499937
"West Ham United - West Bromwich Albion, 2 - 1",2499938
"Manchester City - Watford, 3 - 1",2499934
"Southampton - Crystal Palace, 1 - 2",2499935
"Everton - Manchester United, 0 - 2",2499932
"Burnley - Liverpool, 1 - 2",2499931
"Leicester City - Huddersfield Town, 3 - 0",2499933
"Stoke City - Newcastle United, 0 - 1",2499936
"Brighton & Hove Albion - AFC Bournemouth, 2 - 2",2499930
"West Bromwich Albion - Arsenal, 1 - 1",2499928
"AFC Bournemouth - Everton, 2 - 1",2499919
"Chelsea - Stoke City, 5 - 0",2499920
"Liverpool - Leicester City, 2 - 1",2499923
"Watford - Swansea City, 1 - 2",2499927
"Crystal Palace - Arsenal, 2 - 3",2499911
"Newcastle United - Manchester City, 0 - 1",2499915
"Liverpool - Swansea City, 5 - 0",2499913
"AFC Bournemouth - West Ham United, 3 - 3",2499909
"Chelsea - Brighton & Hove Albion, 2 - 0",2499910
"Huddersfield Town - Stoke City, 1 - 1",2499912
"Manchester United - Burnley, 2 - 2",2499914
"Watford - Leicester City, 2 - 1",2499917
"Tottenham Hotspur - Southampton, 5 - 2",2499916
"Leicester City - Manchester United, 2 - 2",2499903
"Burnley - Tottenham Hotspur, 0 - 3",2499901
"Brighton & Hove Albion - Watford, 1 - 0",2499900
"Manchester City - AFC Bournemouth, 4 - 0",2499904
"Southampton - Huddersfield Town, 1 - 1",2499905
"Stoke City - West Bromwich Albion, 3 - 1",2499906
"Swansea City - Crystal Palace, 1 - 1",2499907
"West Ham United - Newcastle United, 2 - 3",2499908
